unique_code,make_slug,make_name,model_slug,model_name,year,trim_slug,trim_name,variant_slug,variant_name,vehicle_type,drivetrain,system_power_kw,system_torque_nm,battery_capacity_gross_kwh,battery_capacity_net_kwh,battery_chemistry,dc_max_power_kw,ac_max_power_kw,range_wltp_km,range_epa_km,acceleration_0_100_s,top_speed_kmh,charge_connectors,sources
lucid:air:2023:air_touring,lucid,Lucid,air,Air,2023,pure,Pure,touring,Touring,PassengerCar,Awd,462,650,92,88,li-ion,300,19.2,,684,3.4,201,Ccs1,https://www.lucidmotors.com/air
lucid:air:2023:air_grand_touring,lucid,Lucid,air,Air,2023,pure,Pure,grand_touring,Grand Touring,PassengerCar,Awd,611,950,112,106,li-ion,300,19.2,,830,3,270,Ccs1,https://www.lucidmotors.com/air
lucid:air:2024:air,lucid,Lucid,air,Air,2024,pure,Pure,,,PassengerCar,Rwd,321,430,88,84,li-ion,300,19.2,,676,4.5,201,Ccs1,https://www.lucidmotors.com/air|https://www.fueleconomy.gov
lucid:air:2024:air_touring,lucid,Lucid,air,Air,2024,pure,Pure,touring,Touring,PassengerCar,Awd,462,650,92,88,li-ion,300,19.2,,684,3.4,201,Ccs1,https://www.lucidmotors.com/air
lucid:air:2024:air_sapphire,lucid,Lucid,air,Air,2024,pure,Pure,sapphire,Sapphire,PassengerCar,Awd,920,1930,118,112,li-ion,300,19.2,,687,1.89,330,Ccs1,https://www.lucidmotors.com/air/sapphire
lucid:air:2024:air_grand_touring,lucid,Lucid,air,Air,2024,pure,Pure,grand_touring,Grand Touring,PassengerCar,Awd,611,950,112,106,li-ion,300,19.2,,830,3,270,Ccs1,https://www.lucidmotors.com/air
lucid:air:2025:air,lucid,Lucid,air,Air,2025,pure,Pure,,,PassengerCar,Rwd,321,430,88,84,li-ion,300,19.2,,676,4.5,201,Ccs1,https://www.lucidmotors.com/air|https://www.fueleconomy.gov
lucid:air:2025:air_touring,lucid,Lucid,air,Air,2025,pure,Pure,touring,Touring,PassengerCar,Awd,462,650,92,88,li-ion,300,19.2,,684,3.4,201,Ccs1,https://www.lucidmotors.com/air
lucid:air:2025:air_sapphire,lucid,Lucid,air,Air,2025,pure,Pure,sapphire,Sapphire,PassengerCar,Awd,920,1930,118,112,li-ion,300,19.2,,687,1.89,330,Ccs1,https://www.lucidmotors.com/air/sapphire
lucid:air:2025:air_grand_touring,lucid,Lucid,air,Air,2025,pure,Pure,grand_touring,Grand Touring,PassengerCar,Awd,611,950,112,106,li-ion,300,19.2,,830,3,270,Ccs1,https://www.lucidmotors.com/air
lucid:gravity:2025:gravity,lucid,Lucid,gravity,Gravity,2025,touring,Touring,,,Suv,Awd,418,700,120,112,li-ion,350,19.2,,542,4,201,Ccs1,https://www.lucidmotors.com/gravity|https://www.fueleconomy.gov
lucid:gravity:2025:gravity_grand_touring,lucid,Lucid,gravity,Gravity,2025,touring,Touring,grand_touring,Grand Touring,Suv,Awd,618,1000,120,112,li-ion,350,19.2,,724,3.5,240,Ccs1,https://www.lucidmotors.com/gravity
m_hero:917:2023:917,m_hero,M-Hero,917,917,2023,base,Base,,,Suv,Awd,800,1400,142.7,135,nmc,200,11,,,4.2,220,Ccs2,https://www.agaragem.pt/2024/11/24/dongfeng-voyah-e-m-hero-ha-tres-novas-marcas-chinesas-em-portugal/
m_hero:917:2024:917,m_hero,M-Hero,917,917,2024,base,Base,,,Suv,Awd,800,1400,142.7,135,nmc,200,11,,,4.2,220,Ccs2,https://www.agaragem.pt/2024/11/24/dongfeng-voyah-e-m-hero-ha-tres-novas-marcas-chinesas-em-portugal/
m_hero:917:2025:917,m_hero,M-Hero,917,917,2025,base,Base,,,Suv,Awd,800,1400,142.7,135,nmc,200,11,,,4.2,220,Ccs2,https://www.agaragem.pt/2024/11/24/dongfeng-voyah-e-m-hero-ha-tres-novas-marcas-chinesas-em-portugal/
maserati:gran_cabrio_folgore:2025:gran_cabrio_folgore,maserati,Maserati,gran_cabrio_folgore,GranCabrio Folgore,2025,base,Base,,,PassengerCar,Awd,900,1350,92.5,83,li-ion,270,11,450,,2.7,290,Ccs2,https://www.maserati.com/international/en/models/grancabrio-folgore
maserati:gran_turismo_folgore:2023:gran_turismo_folgore,maserati,Maserati,gran_turismo_folgore,GranTurismo Folgore,2023,base,Base,,,PassengerCar,Awd,560,1350,92.5,83,li-ion,270,11,450,,2.7,320,Ccs2,https://www.maserati.com/international/en/models/granturismo-folgore
maserati:grecale_folgore:2024:grecale_folgore,maserati,Maserati,grecale_folgore,Grecale Folgore,2024,base,Base,,,Suv,Awd,500,820,105,96,li-ion,150,11,500,,3.8,250,Ccs2,https://www.maserati.com/international/en/models/grecale-folgore
maserati:mc20_folgore:2025:mc20_folgore,maserati,Maserati,mc20_folgore,MC20 Folgore,2025,base,Base,,,PassengerCar,Awd,560,1350,100,90,li-ion,270,11,482,,2.8,310,Ccs2,https://www.maserati.com/international/en/models/mc20-folgore
mclaren:artura:2023:artura,mclaren,McLaren,artura,Artura,2023,base,Base,,,PassengerCar,Rwd,70,225,7.4,6.5,li-ion,,7.4,30,,,,Type2,https://www.mclaren.com/automotive/supercars/artura/
mclaren:artura:2024:artura,mclaren,McLaren,artura,Artura,2024,base,Base,,,PassengerCar,Rwd,70,225,7.4,6.5,li-ion,,7.4,30,,,,Type2,https://www.mclaren.com/automotive/supercars/artura/
mclaren:artura:2025:artura,mclaren,McLaren,artura,Artura,2025,base,Base,,,PassengerCar,Rwd,70,225,7.4,6.5,li-ion,,7.4,30,,,,Type2,https://www.mclaren.com/automotive/supercars/artura/
mercedes_benz:cla_ev:2025:cla_ev,mercedes_benz,Mercedes-Benz,cla_ev,CLA EV,2025,base,Base,,,PassengerCar,Rwd,175,400,89,82,li-ion,200,11,792,,6,200,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/cla-ev/
mercedes_benz:eqa:2023:eqa,mercedes_benz,Mercedes-Benz,eqa,EQA,2023,base,Base,,,Suv,Fwd,140,385,66.5,60,li-ion,100,11,426,,8.9,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
mercedes_benz:eqa:2023:eqa_350_4matic,mercedes_benz,Mercedes-Benz,eqa,EQA,2023,base,Base,350_4matic,350 4MATIC,Suv,Awd,215,520,66.5,60,li-ion,100,11,395,,6,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
mercedes_benz:eqa:2023:eqa_300_4matic,mercedes_benz,Mercedes-Benz,eqa,EQA,2023,base,Base,300_4matic,300 4MATIC,Suv,Awd,168,390,66.5,60,li-ion,100,11,400,,7.7,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
mercedes_benz:eqa:2024:eqa,mercedes_benz,Mercedes-Benz,eqa,EQA,2024,base,Base,,,Suv,Fwd,140,385,66.5,60,li-ion,100,11,426,,8.9,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
mercedes_benz:eqa:2024:eqa_350_4matic,mercedes_benz,Mercedes-Benz,eqa,EQA,2024,base,Base,350_4matic,350 4MATIC,Suv,Awd,215,520,66.5,60,li-ion,100,11,395,,6,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
